NACE,Industrial Ecosystem,Horizontal code or not,NACE (Level 2),TIME_PERIOD,geo,Value added weight,Industrial Ecosystem&NACE&Horizontal code or not,Horizontal NACE code,Turnover weight,Persons employed weight,Employees in FTEs weight,Amount of Enterprises weight
F43,Construction,TRUE,F43,2022,AT,0.087131536,ConstructionC25TRUE,C25,0.087131536,0.087131536,0.087131536,0.087131536
M71,Construction,TRUE,M71,2022,AT,0.006760911,ConstructionC25TRUE,C25,0.006760911,0.006760911,0.006760911,0.006760911
N81,Construction,TRUE,N81,2022,AT,0.000645203,ConstructionC25TRUE,C25,0.000645203,0.000645203,0.000645203,0.000645203
C31,Construction,TRUE,C31,2023,AT,0.007090628,ConstructionC25TRUE,C25,0.007090628,0.007090628,0.007090628,0.007090628
F41,Construction,TRUE,F41,2023,AT,0.035766348,ConstructionC25TRUE,C25,0.035766348,0.035766348,0.035766348,0.035766348
F42,Construction,TRUE,F42,2023,AT,0.021009862,ConstructionC25TRUE,C25,0.021009862,0.021009862,0.021009862,0.021009862
F43,Construction,TRUE,F43,2023,AT,0.084282812,ConstructionC25TRUE,C25,0.084282812,0.084282812,0.084282812,0.084282812
M71,Construction,TRUE,M71,2023,AT,0.007727091,ConstructionC25TRUE,C25,0.007727091,0.007727091,0.007727091,0.007727091
N81,Construction,TRUE,N81,2023,AT,0.000721014,ConstructionC25TRUE,C25,0.000721014,0.000721014,0.000721014,0.000721014
F41,Construction,TRUE,F41,2008,BE,0.088756323,ConstructionC25TRUE,C25,0.088756323,0.088756323,0.088756323,0.088756323
F42,Construction,TRUE,F42,2008,BE,0.046358157,ConstructionC25TRUE,C25,0.046358157,0.046358157,0.046358157,0.046358157
F43,Construction,TRUE,F43,2008,BE,0.191712329,ConstructionC25TRUE,C25,0.191712329,0.191712329,0.191712329,0.191712329
M71,Construction,TRUE,M71,2008,BE,0.004608814,ConstructionC25TRUE,C25,0.004608814,0.004608814,0.004608814,0.004608814
N81,Construction,TRUE,N81,2008,BE,0.002993683,ConstructionC25TRUE,C25,0.002993683,0.002993683,0.002993683,0.002993683
C31,Construction,TRUE,C31,2008,BE,0.003193045,ConstructionC25TRUE,C25,0.003193045,0.003193045,0.003193045,0.003193045
F41,Construction,TRUE,F41,2009,BE,0.088469095,ConstructionC25TRUE,C25,0.088469095,0.088469095,0.088469095,0.088469095
F42,Construction,TRUE,F42,2009,BE,0.046578305,ConstructionC25TRUE,C25,0.046578305,0.046578305,0.046578305,0.046578305
F43,Construction,TRUE,F43,2009,BE,0.19221625,ConstructionC25TRUE,C25,0.19221625,0.19221625,0.19221625,0.19221625
M71,Construction,TRUE,M71,2009,BE,0.004855029,ConstructionC25TRUE,C25,0.004855029,0.004855029,0.004855029,0.004855029
N81,Construction,TRUE,N81,2009,BE,0.003183838,ConstructionC25TRUE,C25,0.003183838,0.003183838,0.003183838,0.003183838
C31,Construction,TRUE,C31,2009,BE,0.00316482,ConstructionC25TRUE,C25,0.00316482,0.00316482,0.00316482,0.00316482
F41,Construction,TRUE,F41,2010,BE,0.116681682,ConstructionC25TRUE,C25,0.116681682,0.116681682,0.116681682,0.116681682
F42,Construction,TRUE,F42,2010,BE,0.054964441,ConstructionC25TRUE,C25,0.054964441,0.054964441,0.054964441,0.054964441
F43,Construction,TRUE,F43,2010,BE,0.221345868,ConstructionC25TRUE,C25,0.221345868,0.221345868,0.221345868,0.221345868
M71,Construction,TRUE,M71,2010,BE,0.005679367,ConstructionC25TRUE,C25,0.005679367,0.005679367,0.005679367,0.005679367
N81,Construction,TRUE,N81,2010,BE,0.002797436,ConstructionC25TRUE,C25,0.002797436,0.002797436,0.002797436,0.002797436
C31,Construction,TRUE,C31,2010,BE,0.00246927,ConstructionC25TRUE,C25,0.00246927,0.00246927,0.00246927,0.00246927
F41,Construction,TRUE,F41,2011,BE,0.084423394,ConstructionC25TRUE,C25,0.084423394,0.084423394,0.084423394,0.084423394
F42,Construction,TRUE,F42,2011,BE,0.043234094,ConstructionC25TRUE,C25,0.043234094,0.043234094,0.043234094,0.043234094
F43,Construction,TRUE,F43,2011,BE,0.176704133,ConstructionC25TRUE,C25,0.176704133,0.176704133,0.176704133,0.176704133
M71,Construction,TRUE,M71,2011,BE,0.004904923,ConstructionC25TRUE,C25,0.004904923,0.004904923,0.004904923,0.004904923
N81,Construction,TRUE,N81,2011,BE,0.00224459,ConstructionC25TRUE,C25,0.00224459,0.00224459,0.00224459,0.00224459
C31,Construction,TRUE,C31,2011,BE,0.003517183,ConstructionC25TRUE,C25,0.003517183,0.003517183,0.003517183,0.003517183
F41,Construction,TRUE,F41,2012,BE,0.080082148,ConstructionC25TRUE,C25,0.080082148,0.080082148,0.080082148,0.080082148
F42,Construction,TRUE,F42,2012,BE,0.043370491,ConstructionC25TRUE,C25,0.043370491,0.043370491,0.043370491,0.043370491
F43,Construction,TRUE,F43,2012,BE,0.181099887,ConstructionC25TRUE,C25,0.181099887,0.181099887,0.181099887,0.181099887
M71,Construction,TRUE,M71,2012,BE,0.005039078,ConstructionC25TRUE,C25,0.005039078,0.005039078,0.005039078,0.005039078
N81,Construction,TRUE,N81,2012,BE,0.002294993,ConstructionC25TRUE,C25,0.002294993,0.002294993,0.002294993,0.002294993
C31,Construction,TRUE,C31,2012,BE,0.003508395,ConstructionC25TRUE,C25,0.003508395,0.003508395,0.003508395,0.003508395
F41,Construction,TRUE,F41,2013,BE,0.075017405,ConstructionC25TRUE,C25,0.075017405,0.075017405,0.075017405,0.075017405
F42,Construction,TRUE,F42,2013,BE,0.04447092,ConstructionC25TRUE,C25,0.04447092,0.04447092,0.04447092,0.04447092
F43,Construction,TRUE,F43,2013,BE,0.178622831,ConstructionC25TRUE,C25,0.178622831,0.178622831,0.178622831,0.178622831
M71,Construction,TRUE,M71,2013,BE,0.005335535,ConstructionC25TRUE,C25,0.005335535,0.005335535,0.005335535,0.005335535
